순번,표제어,대분류,영문,설명,출처,출처1,중분류
50,N2 도표,사업/계약관리,N square chart,"N2 도표는 기능적/물리적 인터페이스를 분석하기 위한 시스템적인 접근방법으로 가로, 세로가 N개의 셀로 구성되어 있는 고정된 틀로 작성된다. N개의 기능을 표현하기 위해서는 N×N 매트릭스를 작성해야 하며, N개의 기능은 매트릭스의 대각선 상에 위치한다. 나머지 (N×N-N)개의 의 셀에는 인터페이스 출력과 입력이 표현된다. N2 도표의 주 기능 중 하나는 개발주기 후반에 시스템통합이 효과적으로 진행될 수 있도록 기능 사이에 생길 수 있는 상충영역을 검토하는 것이다.",방위사업청,체계공학적용지침(안),국방기술지원
51,PLDs,정책/제도,Programmable Logic Devices,프로그램이 가능한 논리소자로써 설계자에 의해 궁극적인 기능이 결정되는 디지털 소자들의 집합체를 말한다.,방사청용어,부품단종 관리 정보체계구축 방안 연구,방산운영
52,PzH 2000 자주포,무기체계,PzH 2000 Self-propelled Artillery,"독일이 개발한 최대사거리 40km, 전투중량 55톤, 방열 및 사격통제를 자동통제하는 세계최고 수준의 자주포이다.",방사청용어,방사청홈페이지,기동화력
53,RFID 음성 안내 시스템,사업/계약관리,RFID Voice Information System,RFID를 활용한 시각장애인 음성안내 시스템. 점자보도블록에 RFID를 삽입하고 지팡이에 설치한 전자나침반과 휴대형 RF리더로 위치정보를 확인해 다양한 정보를 음성으로 제공한다.　,KIMA,2009-1차 정보통신표준용어 채택,국방기술지원
54,RQ-101,무기체계,RQ-101,군단급 무인정찰기의 고유명칭(모델명)이다.,방사청용어,,항공기
55,SmAll Day,정책/제도,SmAll Day,"개별업체1:1 맞춤형 집중 지원의 날을 말한다. 방사청이 품질 및 경쟁력 있는 중소기업을 대상으로 국방 절충교역 참여를 확대하기 위해 실시하고 있는 1:1 맞춤형 컨설팅 제도이다.  작은(Small, 중소) 기업을 대상으로 국방 절충교역에 참여할 수 있도록 정부의 모든(All) 정보를 개방　공유하고, 정부와 중소기업이 상호 소통하고 협력하여 작은 기업에 큰 만족을 제공하고자 시행하는 정부3.0 방식의 컨설팅이다.",방사청용어,네이버,획득기획
56,SMS,전력지원체계,Short Message Service,"""단문메시지서비스"". 휴대전화 간에 짧은 문장을 주고 받을 수 있게 한 부가서비스로써 개인 사용자 간 의사소통 뿐만 아니라 기업에서 사용자에게 공지, 안내 사항을 발송하는데 주로 활용된다. 청에서는 각종 조달/계약업무, 인허가 민원 처리 등 주요 업무 단계마다 LMS(Long Message Service, 한글 1000자까지 보낼 수 있는 문자 서비스)를 발송하여 보다 상세하고 다양한 정보를 민원인에게 제공하고 있다.",방사청용어,,정보체계
57,T-50,무기체계,T-50 Golden Eagle,"T-50은 대한민국이 제작한 초음속 고등 훈련기이다. 2005년 10월부터 양산에 들어가, 2005년 12월에 1호기가 납품되었으며 2008년 3월 25일 초도분량 25대 도입이 모두 완료되어 기존의 T-38 탤론의 역할을 대체하였다. 현재 납품된 기체는 대한민국 공군 1 전투비행단소속 203 비행교육대대로 편성되어 있으며 대당 가격은 2000만 ~ 2500만 달러다",방사청용어,,항공기
58,UAV,무기체계,Unmanned Aerial Vehicle,"UAV는 무인항공기를 뜻한다. 적외선 감지기, 비디오 카메라, 기상레이더 등을 갖추어 적진을 정찰하고, 미사일을 장착하면 공격도 가능하다. 우리 군에서는 군단에서 표적탐지용으로 운용할 목적으로 개발한 무인정찰기를 UAV라고도 부르며, 통상명칭은 송골매, 모델명은 RQ-101이다.",방사청용어,네이버 지식백과 (두산백과),항공기
59,UN 국제 물품 매매 협약,사업/계약관리,United Nations Convention on Contracts for the International Sale of Goods,"국제 물품 매매 계약에 관한 국제 연합 협약'이라고 하며 국제적 계약법에 관한 협정이다. 유엔통일매매법이라고도 부른다. 이 협약은 국제 연합 국제 무역법 위원회에 의하여 성안되고, 1980년 3월 오스트리아 빈에서 열린 외교회의에 참석한 62개 국가와 8개의 국제기구가 만장일치로 이 협약을 통과시켰으므로 종종 빈 협약이라고도 한다. 이 협약의 목적은 기본적으로 국제물품매매계약에 관하여 국제적으로 통일된 상관습을 성문화함으로써 무역거래의 법률적인 장벽을 제거하는데 공헌하며, 국제무역의 발전을 증진시키기 위한 것이다.. 매도인과 매수인의 권리와 의무를 체계적으로 규정하였다.",KIMA(21세기),형상관리 제도개선 및 감액업무 처리제도 정립에 대한 정책연구,국제계약
60,VHDL,정책/제도,VHSIC(Very High Speed Integrated Circuit) Hardware Description Language,접적회로(IC)의 설계를 위한 디지털 회로들의 기능과 구조를 묘사할 수 있는 표준화된 프로그래밍 언어이다.,방사청용어,부품단종 관리 정보체계구축 방안 연구,방산운영
61,VPN,전력지원체계,Virtual Private Network,"""가상사설망"". 인터넷망과 같은 공중망을 사설망과 같이 사용할 수 있게 해주는 통신 서비스로 VPN 장비를 통해 해당 업체와 방위사업청 간에 보안성 높은 회선을 확보할 수 있다. 현재 방위사업청에서는 통합사업관리정보체계(협업체계), 국방통합원가시스템, 국방표준종합정보시스템에서 VPN을 운용하고 있으며 시스템 이용을 위해서는 사용자 PC에 VPN 소프트웨어를 설치 후 별도의 VPN ID 부여 및 승인 절차가 반드시 필요하다.",방사청용어,,정보체계
62,WLR-X사업,무기체계,Weapon Locating Rader-eXperimental Project,"차기탐지레이더는 적의 타격수단을 탐지하여 주 타격수단과 연동이 가능하고, 표적획득수단과 통합 운용할 수 있는 성능이 우수한 대포병탐지레이더 확보를 추진하는 사업으로 국외구매(WLR-X사업(2차)) 및 국내개발예정(차기탐지레이더) 사업이다.",방사청용어,방사청홈페이지,기동화력
63,XK-239,무기체계,XK-239,차기다련장(천무)의 고유명칭(모델)이다.,방사청용어,,기동화력
64,가간섭성,기타,"Coherence, Coherency",(1) 공간상 또는 시간상으로 분리되어 있는 지점에서 전자기장 사이의 상관관계. (2)전자파가 파장이 같은 가지런한 정현파의 집합인 상태. ☜ 코히런스(Coherence),국방과학기술용어,국방과학기술용어사전,기타
65,가간섭성 광파전송,기타,Coherent Light Wave Transmission,"전자파와 마찬가지로 광파의 가간섭성을 이용하여 빛의 주파수나 위상에 신호를 실어서 전송하는 방식. 이 경우에 가간섭성이란 주파수가 일정하여 위상이 시간적, 공간적으로 일정한 빛의 파, 즉 가간섭성 광파를 정보를 싣는 파로 이용한다는 의미이다. 빛의 강약에 따른 종래의 강도 변조 광섬유 전송 방식보다 고속으로 대용량 전송이 가능하다.장래의 광대역 종합 정보 통신망(B-ISDN)이나 가입자의 가정까지 광섬유를 포설하는 광가입자계 시스템인 파이버 투 더 홈(FTTH)의 중요한 기술의 하나이다.",국방과학기술용어,국방과학기술용어사전,기타
66,가간섭성공간,기타,Coherence Area,전파 방향에 수직인 평면상에서 빛이 충분히 가간섭성이라고 할 수 있는 영역. 일반적으로 가간섭성도가 0.88 이상인 공간을 말한다. 이 영역으로부터의 빛은(이 영역에 놓인 2개의 바늘 구멍을 통과하면) 간섭에 의한 명암(明暗)의 패턴(무늬 모양)을 만든다.,국방과학기술용어,국방과학기술용어사전,기타
67,가간섭성광,기타,Coherence Ray,복수 광파(光波)의 위상과 주파수가 같아서 공간적으로나 시간적으로 일치할 때의 광파. 통신에 이용하는 광은 가간섭성 광이어야 하나 일반 광은 그렇지 않다. 가간섭성의 발진기를 사용하여 특별히 가간섭성 광을 생성시켜 이용하는 것이 레이저나 홀로그래피(Holography)이다.,국방과학기술용어,국방과학기술용어사전,기타
68,가검사,사업/계약관리,Temporary Inspection,"계약 등 자산취득을 위하여 필요한 제반절차를 밟기 전에 부득이한 사유로 소유자산을 우선 발주하여 납품된 경우, 납품된 물품이 불완전하거나 일부만이 납품되어 그 보완을 위하여 기술검사 또는 국제검정기관의 검정이 요구되어 대기중인 경우 등 성질상 정상 검사를 할 수 없는 때에 행하는 잠정적인 검사를 말한다.",방사청용어,"자 산 검 사 요 령, 개정 2010. 03. 25(정책기획실- 625)",계약관리
69,가격 검증 제도,사업/계약관리,Cost Audit System,"업체 제시가격 및 계약가격의 적절성을 보장받기 위하여 해당국 정부의 원가전문기관으로부터 원가검증 지원(Field Pricing Audit Service)을 받아 가격의 합리성 여부를 판단하는 방법으로서, 미국과는 안보지원규정에 의하여 가격을 검증하고, 기타 국가와는 방산군수 협력 협정에 의한 가격검증 양해각서(MOU)를 체결하여 가격을 검증하는 제도를 말한다.",방위사업청(국제가격검증팀),방위사업관리규정,국제계약
70,가격 고시,사업/계약관리,Quotation,"증권, 외환 시장 및 무역 등에서 광범위하게 사용되는 용어로서 시세 기준 가격, 가격 산정 등의 의미로 통용된다. 증권 시장에서는 거래되는 유가 증권의 매매 계약이 체결될 때의 가격을 가리키며, 외환 시장에서는 외국환 은행이 각종 외환에 대해 게시하는 외환 시세를 말한다. 한편 무역에 있어서는 무역 채산의 기초가 되는 제시 가격의 산정 또는 그 결과로서의 산정 가격을 의미한다.",과학기술용어사전,,계약관리
71,가격 및 가용성,기타,,"외국정부의 국방물자 또는 용역의 구매가용성에 대한 기본적인 자료 요구에 대응하는 MILDEPs, DSCA, 미 국방부 부서에 의해 준비됨. P&A 자료는 LOA의 준비를 위하여 유효한 것으로 고려되는 않음. 이 자료의 제공이 미 정부가 제공된 자료의 물자나 용역을 판매하는 것으로 인정되는 것은 아님.",방위사업용어,방위사업청 용어 종합,기타
72,가격 및 가용성 자료,사업/계약관리,Price And Availability Data,"FMS구매에 있어서 청약 및 수락서(LOA)와 동일한 수준의 신뢰성과 상세한 가격정보를 가지고 있는 자료를 말하며, 이는 미 국방성 해당기관에서 요청받은 날부터 45일 이내에 구매국에 제공한다. P&A 자료는 LOA의 준비를 위하여 유효한 것으로 고려되지는 않으며, 이 자료의 제공이 미 정부가 제공된 자료의 물자나 용역을 판매하는 것으로 인정되는 것은 아니다.",방위사업청(대정부계약팀),FMS 실무업무 Q&A,국제계약
73,가격 분석,정책/제도,Price Analysis,"1. 개별 비용요소에 대한 분석은 하지 않고 제안된 가격의 적정성, 합리성을 총괄적인 수준에서 검증, 평가하는 과정을 말한다. 개별적인 비용요소에 대한 정보가 없거나 불필요한 경우에 사용한다. 과거 제안가격, 동종 유사제품의 시장가격 등과의 비교가 중요한 수단이 된다. 2. 예정가격을 생략할 수 있도록 규정하고 있는 일정금액 이하의 소액조달물자에 대하여 원가계산 또는 가격조사를 생략하고 고시가격, 전문가격조사기관 조사공표가격, 실적가격에 물가지수 등락분을 가감한 가격 등에 의하여 계약금액의 기준이 되는 가격을 작성하는 것을 말한다.",1. 방사청용어 2. KIMA,1. 분석평가 업무 실무편람 용어 정의2. [pdf] 국방획득 원가 및 계약실무,분석평가
74,가격 산정,사업/계약관리,Price Computation,"전문원가계산 기관에서 제품의 가격을 셈하여 정하는 것을 말한다. ☞ 「국가를 당사자로 하는 계약에 관한 법률」시행령 제9조 및 동시행 규칙 제5조 ""예정가격 산정기준""",KIMA,,계약관리
75,가격 정보,사업/계약관리,Price & Cost Information,"1. 외자 가격관리의 주요 구성가격으로서 외자 상업구매시 가격정보란 사업담당관이 계약을 하기 전에 계약예정품목에 대해 가격을 조사하는데 재외 군수무관 또는 용역업체를 통하여 국제시세가격을 획득하며, 이를 가격정보 또는 가격정보 획득가라고 한다. 가격정보는 계약실적가, 업체견적가, 마이크로 피쉬와 더불어 계약금액 결정에 중요한 자료로서 일정금액 이상 품목에 대해서는 반드시 가격정보를 요청, 획득토록 하고 있다. 2. 물품이나 용역을 획득함에 있어서 공정하고 합리적인 가격으로 구매하기 위하여 미리 산정하는 원가 또는 목표가격의 기초가 되는 모든 가격자료를 통칭한다. 이는 원가산정 시 일반적으로 사용되는 원가분석방법에서는 개별 가격요소, 즉 재료비, 노무비, 일반관리비 등에 대한 가격자료일 수 있으며, 목표가격 산정 시 이용되는 가격분석에서는 특정품목 전체의 수입가격 또는 과거 계약 실적가격으로 표시될 수 있다. 국방조달에서 가격정보의 종류는 국방기관 조달실적가격, 타 기관 실적가격, 해당국 정부실적가격, 제3국 수출가격, 국내시장 가격, 정부표준가격, 업체공표가격 또는 견적가격, 전문기관 또는 업체 조사가격 등으로 구분한다. 이러한 가격정보의 획득에는 FED-LOG(연방목록, 국가 간 무기거래에 사용되는 표준가격목록, 주로 미국생산부품의 표준가격을 알 수 있음), HAYSTACK(군수업체들 간 조달실적을 기록한 목록)과 같은 군수정보 전문 데이터베이스를 포함해서 방위사업청에서 운영하고 있는 종합가격정보 데이터베이스, 한국물가협회　조달청 등 국내 5개 전문조사기관, 인터넷 등 국제정보통신망, 정기/수시 간행물과 국외 용역업체 및 재외군수무관이 주로 활용된다.",1.과학기술용어사전 2.국방부군수전력용어사전,,계약관리
